model_name,technique_name,exact_match_name,exact_match_unit,exact_match_all
Gemma-SEA-LION v4 4B,chain-of-thought,0.05683122847301952,0.03654802908534252,0.013777267508610792
Gemma-SEA-LION v4 4B,few-shot,0.058935764256942975,0.03985584057663769,0.014839940640237439
Gemma-SEA-LION v4 4B,structured-output,0.0575139146567718,0.038033395176252316,0.015584415584415584
Gemma-SEA-LION v4 4B,zero-shot,0.05811467444120506,0.0402332361516035,0.014965986394557823
Llama 3.2 3B Instruct,chain-of-thought,0.04836926478717524,0.02377003869541183,0.007186290768380321
Llama 3.2 3B Instruct,few-shot,0.04961411245865491,0.024255788313120176,0.006063947078280044
Llama 3.2 3B Instruct,structured-output,0.043591074208614425,0.024390243902439025,0.0044110015568240785
Llama 3.2 3B Instruct,zero-shot,0.046506403055493147,0.026286227813974387,0.006515389800044934
MedGemma 4B,chain-of-thought,0.05672304800956774,0.04083376046471895,0.012643089014180762
MedGemma 4B,few-shot,0.057036156849431335,0.036666100831777286,0.01222203361059243
MedGemma 4B,structured-output,0.057660073751257125,0.03938987596379484,0.012738853503184714
MedGemma 4B,zero-shot,0.05802469135802469,0.03968253968253968,0.013051146384479718
Phi-4-mini 3.8B Instruct,chain-of-thought,0.047432122996401704,0.01046777886817141,0.004579653254824992
Phi-4-mini 3.8B Instruct,few-shot,0.0463980463980464,0.012515262515262516,0.003357753357753358
Phi-4-mini 3.8B Instruct,structured-output,0.039289761994710994,0.00831129580657348,0.0018889308651303363
Phi-4-mini 3.8B Instruct,zero-shot,0.04067070995362112,0.014983945772386728,0.0035676061362825543
Qwen 2.5 3B Instruct,chain-of-thought,0.037199124726477024,0.03188496405126602,0.006564551422319475
Qwen 2.5 3B Instruct,few-shot,0.036550542547115934,0.0336950314106225,0.006853226727584237
Qwen 2.5 3B Instruct,structured-output,0.03640011464603038,0.025508741759816565,0.004299226139294927
Qwen 2.5 3B Instruct,zero-shot,0.03695937090432503,0.025425950196592398,0.006290956749672346
