experiment_id,video_id,model_name,technique_name,rag_enabled,gt_ingredient_count,pred_ingredient_count,true_positives,false_positives
2050,1,Llama 3.2 3B Instruct,zero-shot,0,8,9,72,0
2051,1,Llama 3.2 3B Instruct,few-shot,0,8,5,40,0
2052,1,Llama 3.2 3B Instruct,chain-of-thought,0,8,8,64,0
2053,1,Llama 3.2 3B Instruct,structured-output,0,8,8,64,0
2054,1,Phi-4-mini 3.8B Instruct,zero-shot,0,8,7,56,0
2055,1,Phi-4-mini 3.8B Instruct,few-shot,0,8,6,48,0
2056,1,Phi-4-mini 3.8B Instruct,chain-of-thought,0,8,2,16,0
2057,1,Phi-4-mini 3.8B Instruct,structured-output,0,8,7,56,0
2058,1,Qwen 2.5 3B Instruct,zero-shot,0,8,6,48,0
2059,1,Qwen 2.5 3B Instruct,few-shot,0,8,7,56,0
2060,1,Qwen 2.5 3B Instruct,chain-of-thought,0,8,7,56,0
2061,1,Qwen 2.5 3B Instruct,structured-output,0,8,7,56,0
2062,1,Gemma-SEA-LION v4 4B,zero-shot,0,8,8,64,0
2063,1,Gemma-SEA-LION v4 4B,few-shot,0,8,6,48,0
2064,1,Gemma-SEA-LION v4 4B,chain-of-thought,0,8,8,64,0
2065,1,Gemma-SEA-LION v4 4B,structured-output,0,8,8,64,0
2066,1,MedGemma 4B,zero-shot,0,8,8,64,0
2067,1,MedGemma 4B,few-shot,0,8,8,64,0
2068,1,MedGemma 4B,chain-of-thought,0,8,8,64,0
2069,1,MedGemma 4B,structured-output,0,8,7,56,0
2070,2,Llama 3.2 3B Instruct,zero-shot,0,15,11,165,0
2071,2,Llama 3.2 3B Instruct,few-shot,0,15,7,105,0
2072,2,Llama 3.2 3B Instruct,chain-of-thought,0,15,8,120,0
2073,2,Llama 3.2 3B Instruct,structured-output,0,15,9,135,0
2075,2,Phi-4-mini 3.8B Instruct,few-shot,0,15,2,30,0
2076,2,Phi-4-mini 3.8B Instruct,chain-of-thought,0,15,8,120,0
2077,2,Phi-4-mini 3.8B Instruct,structured-output,0,15,4,60,0
2078,2,Qwen 2.5 3B Instruct,zero-shot,0,15,12,180,0
2079,2,Qwen 2.5 3B Instruct,few-shot,0,15,9,135,0
2080,2,Qwen 2.5 3B Instruct,chain-of-thought,0,15,1,15,0
2081,2,Qwen 2.5 3B Instruct,structured-output,0,15,9,135,0
2082,2,Gemma-SEA-LION v4 4B,zero-shot,0,15,11,165,0
2083,2,Gemma-SEA-LION v4 4B,few-shot,0,15,11,165,0
2084,2,Gemma-SEA-LION v4 4B,chain-of-thought,0,15,11,165,0
2085,2,Gemma-SEA-LION v4 4B,structured-output,0,15,13,195,0
2086,2,MedGemma 4B,zero-shot,0,15,18,270,0
2087,2,MedGemma 4B,few-shot,0,15,16,240,0
2088,2,MedGemma 4B,chain-of-thought,0,15,14,210,0
2089,2,MedGemma 4B,structured-output,0,15,13,195,0
2090,3,Llama 3.2 3B Instruct,zero-shot,0,9,9,81,0
2091,3,Llama 3.2 3B Instruct,few-shot,0,9,5,45,0
2092,3,Llama 3.2 3B Instruct,chain-of-thought,0,9,10,90,0
2093,3,Llama 3.2 3B Instruct,structured-output,0,9,10,90,0
2094,3,Phi-4-mini 3.8B Instruct,zero-shot,0,9,7,63,0
2095,3,Phi-4-mini 3.8B Instruct,few-shot,0,9,10,90,0
2096,3,Phi-4-mini 3.8B Instruct,chain-of-thought,0,9,8,72,0
2097,3,Phi-4-mini 3.8B Instruct,structured-output,0,9,5,45,0
2098,3,Qwen 2.5 3B Instruct,zero-shot,0,9,8,72,0
2099,3,Qwen 2.5 3B Instruct,few-shot,0,9,9,81,0
2100,3,Qwen 2.5 3B Instruct,chain-of-thought,0,9,8,72,0
2101,3,Qwen 2.5 3B Instruct,structured-output,0,9,9,81,0
2102,3,Gemma-SEA-LION v4 4B,zero-shot,0,9,9,81,0
2103,3,Gemma-SEA-LION v4 4B,few-shot,0,9,9,81,0
2104,3,Gemma-SEA-LION v4 4B,chain-of-thought,0,9,9,81,0
2105,3,Gemma-SEA-LION v4 4B,structured-output,0,9,9,81,0
2106,3,MedGemma 4B,zero-shot,0,9,8,72,0
2107,3,MedGemma 4B,few-shot,0,9,9,81,0
2108,3,MedGemma 4B,chain-of-thought,0,9,9,81,0
2109,3,MedGemma 4B,structured-output,0,9,9,81,0
2110,4,Llama 3.2 3B Instruct,zero-shot,0,12,8,96,0
2111,4,Llama 3.2 3B Instruct,few-shot,0,12,5,60,0
2112,4,Llama 3.2 3B Instruct,chain-of-thought,0,12,13,156,0
2113,4,Llama 3.2 3B Instruct,structured-output,0,12,11,132,0
2114,4,Phi-4-mini 3.8B Instruct,zero-shot,0,12,3,36,0
2115,4,Phi-4-mini 3.8B Instruct,few-shot,0,12,4,48,0
2116,4,Phi-4-mini 3.8B Instruct,chain-of-thought,0,12,4,48,0
2117,4,Phi-4-mini 3.8B Instruct,structured-output,0,12,2,24,0
2118,4,Qwen 2.5 3B Instruct,zero-shot,0,12,12,144,0
2119,4,Qwen 2.5 3B Instruct,few-shot,0,12,13,156,0
2120,4,Qwen 2.5 3B Instruct,chain-of-thought,0,12,9,108,0
2121,4,Qwen 2.5 3B Instruct,structured-output,0,12,4,48,0
2122,4,Gemma-SEA-LION v4 4B,zero-shot,0,12,21,252,0
2123,4,Gemma-SEA-LION v4 4B,few-shot,0,12,20,240,0
2124,4,Gemma-SEA-LION v4 4B,chain-of-thought,0,12,20,240,0
2125,4,Gemma-SEA-LION v4 4B,structured-output,0,12,20,240,0
2126,4,MedGemma 4B,zero-shot,0,12,16,192,0
2127,4,MedGemma 4B,few-shot,0,12,21,252,0
2128,4,MedGemma 4B,chain-of-thought,0,12,20,240,0
2129,4,MedGemma 4B,structured-output,0,12,14,168,0
2130,5,Llama 3.2 3B Instruct,zero-shot,0,9,8,72,0
2132,5,Llama 3.2 3B Instruct,chain-of-thought,0,9,2,18,0
2133,5,Llama 3.2 3B Instruct,structured-output,0,9,1,9,0
2134,5,Phi-4-mini 3.8B Instruct,zero-shot,0,9,5,45,0
2135,5,Phi-4-mini 3.8B Instruct,few-shot,0,9,3,27,0
2136,5,Phi-4-mini 3.8B Instruct,chain-of-thought,0,9,7,63,0
2137,5,Phi-4-mini 3.8B Instruct,structured-output,0,9,10,90,0
2138,5,Qwen 2.5 3B Instruct,zero-shot,0,9,8,72,0
2139,5,Qwen 2.5 3B Instruct,few-shot,0,9,8,72,0
2140,5,Qwen 2.5 3B Instruct,chain-of-thought,0,9,8,72,0
2141,5,Qwen 2.5 3B Instruct,structured-output,0,9,8,72,0
2142,5,Gemma-SEA-LION v4 4B,zero-shot,0,9,9,81,0
2143,5,Gemma-SEA-LION v4 4B,few-shot,0,9,8,72,0
2144,5,Gemma-SEA-LION v4 4B,chain-of-thought,0,9,9,81,0
2145,5,Gemma-SEA-LION v4 4B,structured-output,0,9,9,81,0
2146,5,MedGemma 4B,zero-shot,0,9,9,81,0
2147,5,MedGemma 4B,few-shot,0,9,9,81,0
2148,5,MedGemma 4B,chain-of-thought,0,9,9,81,0
2149,5,MedGemma 4B,structured-output,0,9,9,81,0
2150,6,Llama 3.2 3B Instruct,zero-shot,0,6,4,24,0
2151,6,Llama 3.2 3B Instruct,few-shot,0,6,4,24,0
2152,6,Llama 3.2 3B Instruct,chain-of-thought,0,6,1,6,0
2153,6,Llama 3.2 3B Instruct,structured-output,0,6,5,30,0
2154,6,Phi-4-mini 3.8B Instruct,zero-shot,0,6,4,24,0
2155,6,Phi-4-mini 3.8B Instruct,few-shot,0,6,6,36,0
2156,6,Phi-4-mini 3.8B Instruct,chain-of-thought,0,6,5,30,0
