model_name,technique_name,rag_enabled,total_runs,valid_count,invalid_count,validity_rate_pct
Gemma-SEA-LION v4 4B,chain-of-thought,0,47,47,0,100.0
Gemma-SEA-LION v4 4B,few-shot,0,47,47,0,100.0
Gemma-SEA-LION v4 4B,structured-output,0,49,49,0,100.0
Gemma-SEA-LION v4 4B,zero-shot,0,48,48,0,100.0
Llama 3.2 3B Instruct,chain-of-thought,0,44,44,0,100.0
Llama 3.2 3B Instruct,few-shot,0,49,49,0,100.0
Llama 3.2 3B Instruct,structured-output,0,46,46,0,100.0
Llama 3.2 3B Instruct,zero-shot,0,49,49,0,100.0
MedGemma 4B,chain-of-thought,0,50,50,0,100.0
MedGemma 4B,few-shot,0,50,50,0,100.0
MedGemma 4B,structured-output,0,50,50,0,100.0
MedGemma 4B,zero-shot,0,49,49,0,100.0
Phi-4-mini 3.8B Instruct,chain-of-thought,0,46,46,0,100.0
Phi-4-mini 3.8B Instruct,few-shot,0,47,47,0,100.0
Phi-4-mini 3.8B Instruct,structured-output,0,48,48,0,100.0
Phi-4-mini 3.8B Instruct,zero-shot,0,43,43,0,100.0
Qwen 2.5 3B Instruct,chain-of-thought,0,48,48,0,100.0
Qwen 2.5 3B Instruct,few-shot,0,49,49,0,100.0
Qwen 2.5 3B Instruct,structured-output,0,48,48,0,100.0
Qwen 2.5 3B Instruct,zero-shot,0,50,50,0,100.0
