model_name,technique_name,fuzzy_score,bleu_1,bleu_2,rouge_1,rouge_l
Gemma-SEA-LION v4 4B,chain-of-thought,31.933768042393467,0.07141616985887131,0.06342458575747542,0.07333843602500319,0.07333843602500319
Gemma-SEA-LION v4 4B,few-shot,31.963060951492977,0.07331803597548645,0.06530357773694652,0.07505476644760088,0.07505476644760088
Gemma-SEA-LION v4 4B,structured-output,32.08043131339014,0.07299895276318617,0.06461009279162898,0.07500927643784787,0.07491651205936921
Gemma-SEA-LION v4 4B,zero-shot,32.06075494175893,0.07339940970298635,0.06492529648688743,0.07542597991577583,0.07542597991577583
Llama 3.2 3B Instruct,chain-of-thought,31.520245021883884,0.06490627775555882,0.05647432505564409,0.06763405196241017,0.06763405196241017
Llama 3.2 3B Instruct,few-shot,31.670028769390363,0.06605838239709662,0.05762526965260592,0.06810915104740904,0.06810915104740904
Llama 3.2 3B Instruct,structured-output,31.647107710757027,0.0596552665035883,0.05133085184171102,0.06434007957100847,0.06421034423110189
Llama 3.2 3B Instruct,zero-shot,31.563540321779293,0.06469241935739498,0.05533154576771266,0.06714595970942859,0.06714595970942859
MedGemma 4B,chain-of-thought,31.91577975055404,0.07066726765122672,0.0632448787730759,0.07293695540748334,0.07293695540748334
MedGemma 4B,few-shot,32.02066677753903,0.07171593897661357,0.06363646984024234,0.07359248571266905,0.07350761047926216
MedGemma 4B,structured-output,32.18147383261484,0.07182013390872283,0.06417613641469863,0.07393563526651023,0.07393563526651023
MedGemma 4B,zero-shot,32.18641880151767,0.07181143031550806,0.06454627207632559,0.07389182833627278,0.07389182833627278
Phi-4-mini 3.8B Instruct,chain-of-thought,31.918756903588886,0.07059746223627793,0.06024803904500557,0.07540421269567492,0.07540421269567492
Phi-4-mini 3.8B Instruct,few-shot,31.689629882641622,0.06435708341141945,0.05559256258826364,0.067717599860457,0.06756497470783185
Phi-4-mini 3.8B Instruct,structured-output,31.50954981422315,0.06362062296710322,0.05177115774496472,0.0688821127241981,0.0688821127241981
Phi-4-mini 3.8B Instruct,zero-shot,31.29689538145752,0.061805298727720864,0.05171558004080813,0.06634643154443369,0.06634643154443369
Qwen 2.5 3B Instruct,chain-of-thought,30.445080206976495,0.058570100981450546,0.0490785604320831,0.06469315131397031,0.0643805536271932
Qwen 2.5 3B Instruct,few-shot,30.362687840692608,0.056920469948572444,0.04774956516613682,0.06295250374348033,0.06295250374348033
Qwen 2.5 3B Instruct,structured-output,30.421489463260787,0.05858234026212785,0.04829986650226605,0.06395565200380333,0.063443839368173
Qwen 2.5 3B Instruct,zero-shot,30.906622106429644,0.059901071535585,0.049247406341334045,0.0659596148718036,0.06575366093059408
