"experiment_id","video_id","model_name","technique_name","rag_enabled","pred_name_original","pred_name_en","is_hallucinated"
"2050","1","Llama 3.2 3B Instruct","zero-shot","0","bawang besar","onion","0"
"2050","1","Llama 3.2 3B Instruct","zero-shot","0","susu cair","liquid milk","0"
"2050","1","Llama 3.2 3B Instruct","zero-shot","0","dairy milk","fresh milk","0"
"2050","1","Llama 3.2 3B Instruct","zero-shot","0","air cuci","water","0"
"2050","1","Llama 3.2 3B Instruct","zero-shot","0","susu pekat","concentrated milk","0"
"2050","1","Llama 3.2 3B Instruct","zero-shot","0","air laici","water","0"
"2050","1","Llama 3.2 3B Instruct","zero-shot","0","agar-agar","gelatin","0"
"2050","1","Llama 3.2 3B Instruct","zero-shot","0","buah naga","pineapple","0"
"2050","1","Llama 3.2 3B Instruct","zero-shot","0","air laici","water","0"
"2051","1","Llama 3.2 3B Instruct","few-shot","0","fresh milk",NULL,"0"
"2051","1","Llama 3.2 3B Instruct","few-shot","0","susu cair",NULL,"0"
"2051","1","Llama 3.2 3B Instruct","few-shot","0","susu pekat",NULL,"0"
"2051","1","Llama 3.2 3B Instruct","few-shot","0","buah naga",NULL,"0"
"2051","1","Llama 3.2 3B Instruct","few-shot","0","air laici",NULL,"0"
"2052","1","Llama 3.2 3B Instruct","chain-of-thought","0","bawang besar","onion","0"
"2052","1","Llama 3.2 3B Instruct","chain-of-thought","0","susu cair","canned milk","0"
"2052","1","Llama 3.2 3B Instruct","chain-of-thought","0","dairy milk","fresh milk","0"
"2052","1","Llama 3.2 3B Instruct","chain-of-thought","0","air","water","0"
"2052","1","Llama 3.2 3B Instruct","chain-of-thought","0","susu pekat","peach juice","0"
"2052","1","Llama 3.2 3B Instruct","chain-of-thought","0","air laici","lemon juice","0"
"2052","1","Llama 3.2 3B Instruct","chain-of-thought","0","agar-agar","agreement","0"
"2052","1","Llama 3.2 3B Instruct","chain-of-thought","0","buah naga","pineapple","0"
"2053","1","Llama 3.2 3B Instruct","structured-output","0","bawang besar","onion","0"
"2053","1","Llama 3.2 3B Instruct","structured-output","0","susu cair",NULL,"0"
"2053","1","Llama 3.2 3B Instruct","structured-output","0","air",NULL,"0"
"2053","1","Llama 3.2 3B Instruct","structured-output","0","susu pekat",NULL,"0"
"2053","1","Llama 3.2 3B Instruct","structured-output","0","air laici",NULL,"0"
"2053","1","Llama 3.2 3B Instruct","structured-output","0","aggar-agar",NULL,"0"
"2053","1","Llama 3.2 3B Instruct","structured-output","0","buah naga",NULL,"0"
"2053","1","Llama 3.2 3B Instruct","structured-output","0","air",NULL,"0"
"2054","1","Phi-4-mini 3.8B Instruct","zero-shot","0","susu cair","milk","0"
"2054","1","Phi-4-mini 3.8B Instruct","zero-shot","0","fresh milk",,"0"
"2054","1","Phi-4-mini 3.8B Instruct","zero-shot","0","air",,"0"
"2054","1","Phi-4-mini 3.8B Instruct","zero-shot","0","susu pekat",,"0"
"2054","1","Phi-4-mini 3.8B Instruct","zero-shot","0","air laici",,"0"
"2054","1","Phi-4-mini 3.8B Instruct","zero-shot","0","agar-agar",,"0"
"2054","1","Phi-4-mini 3.8B Instruct","zero-shot","0","buah naga","dragon fruit","0"
"2055","1","Phi-4-mini 3.8B Instruct","few-shot","0","susu cair",NULL,"0"
"2055","1","Phi-4-mini 3.8B Instruct","few-shot","0","fresh milk",NULL,"0"
"2055","1","Phi-4-mini 3.8B Instruct","few-shot","0","air",NULL,"0"
"2055","1","Phi-4-mini 3.8B Instruct","few-shot","0","susu pekat",NULL,"0"
"2055","1","Phi-4-mini 3.8B Instruct","few-shot","0","air laici",NULL,"0"
"2055","1","Phi-4-mini 3.8B Instruct","few-shot","0","agar-agar",NULL,"0"
"2056","1","Phi-4-mini 3.8B Instruct","chain-of-thought","0","susu cair",NULL,"0"
"2056","1","Phi-4-mini 3.8B Instruct","chain-of-thought","0","fresh milk",NULL,"0"
"2057","1","Phi-4-mini 3.8B Instruct","structured-output","0","susu cair",NULL,"0"
"2057","1","Phi-4-mini 3.8B Instruct","structured-output","0","fresh milk",NULL,"0"
"2057","1","Phi-4-mini 3.8B Instruct","structured-output","0","air",NULL,"0"
"2057","1","Phi-4-mini 3.8B Instruct","structured-output","0","susu pekat",NULL,"0"
"2057","1","Phi-4-mini 3.8B Instruct","structured-output","0","agar-agar",NULL,"0"
"2057","1","Phi-4-mini 3.8B Instruct","structured-output","0","buah naga",NULL,"0"
"2057","1","Phi-4-mini 3.8B Instruct","structured-output","0","buah laici",NULL,"0"
"2058","1","Qwen 2.5 3B Instruct","zero-shot","0","tins susu cair",NULL,"0"
"2058","1","Qwen 2.5 3B Instruct","zero-shot","0","dua cawan fresh milk",NULL,"0"
"2058","1","Qwen 2.5 3B Instruct","zero-shot","0","satu cawan air",NULL,"0"
"2058","1","Qwen 2.5 3B Instruct","zero-shot","0","setengah cawan susu pekat",NULL,"0"
"2058","1","Qwen 2.5 3B Instruct","zero-shot","0","buah naga potong kecil",NULL,"0"
"2058","1","Qwen 2.5 3B Instruct","zero-shot","0","leci potongan",NULL,"0"
"2059","1","Qwen 2.5 3B Instruct","few-shot","0","susu cair","milk","0"
"2059","1","Qwen 2.5 3B Instruct","few-shot","0","fresh milk","milk","0"
"2059","1","Qwen 2.5 3B Instruct","few-shot","0","air","water","0"
"2059","1","Qwen 2.5 3B Instruct","few-shot","0","susu pekat","evaporated milk","0"
"2059","1","Qwen 2.5 3B Instruct","few-shot","0","agu laici","coconut cream","0"
"2059","1","Qwen 2.5 3B Instruct","few-shot","0","agar-agar","agar","0"
"2059","1","Qwen 2.5 3B Instruct","few-shot","0","buah naga","mangoes","0"
"2060","1","Qwen 2.5 3B Instruct","chain-of-thought","0","susu cair",NULL,"0"
"2060","1","Qwen 2.5 3B Instruct","chain-of-thought","0","milk fresh",NULL,"0"
"2060","1","Qwen 2.5 3B Instruct","chain-of-thought","0","air",NULL,"0"
"2060","1","Qwen 2.5 3B Instruct","chain-of-thought","0","susu pekat",NULL,"0"
"2060","1","Qwen 2.5 3B Instruct","chain-of-thought","0","agar-agar",NULL,"0"
"2060","1","Qwen 2.5 3B Instruct","chain-of-thought","0","buah naga (potong menjadi seram air)",NULL,"0"
"2060","1","Qwen 2.5 3B Instruct","chain-of-thought","0","air laici",NULL,"0"
"2061","1","Qwen 2.5 3B Instruct","structured-output","0","susu cair","canned milk","0"
"2061","1","Qwen 2.5 3B Instruct","structured-output","0","milk fresh","fresh milk","0"
"2061","1","Qwen 2.5 3B Instruct","structured-output","0","air","water","0"
"2061","1","Qwen 2.5 3B Instruct","structured-output","0","susu pekat","evaporated milk","0"
"2061","1","Qwen 2.5 3B Instruct","structured-output","0","agar-agar","agar agar","0"
"2061","1","Qwen 2.5 3B Instruct","structured-output","0","buah naga","mangoes","0"
"2061","1","Qwen 2.5 3B Instruct","structured-output","0","biji buah laici","chili peppers","0"
"2062","1","Gemma-SEA-LION v4 4B","zero-shot","0","susu cair","milk","0"
"2062","1","Gemma-SEA-LION v4 4B","zero-shot","0","fresh milk","fresh milk","0"
"2062","1","Gemma-SEA-LION v4 4B","zero-shot","0","air","water","0"
"2062","1","Gemma-SEA-LION v4 4B","zero-shot","0","susu pekat","condensed milk","0"
"2062","1","Gemma-SEA-LION v4 4B","zero-shot","0","air laici","longan juice","0"
"2062","1","Gemma-SEA-LION v4 4B","zero-shot","0","agar-agar","agar-agar powder","0"
